price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,age
2495,4,5864,2,5,2,126600.0,0,0,1,2,9,1,22.0
7995,30,45,0,6,2,140714.0,0,0,0,1,10,9,18.0
26888,11,7945,2,6,0,100290.0,0,0,0,1,10,1,9.0
19995,6,9237,0,5,2,76100.0,0,0,0,2,0,10,4.0
14995,6,8030,2,6,2,114587.0,0,0,0,1,10,5,8.0
13889,11,7919,2,6,2,95914.0,0,0,0,1,10,3,15.0
3000,22,1009,2,3,2,140233.0,0,0,1,3,9,5,12.0
3000,35,7833,0,5,2,250000.0,0,0,1,1,5,2,13.0
5000,35,2044,0,3,2,173000.0,0,0,1,2,9,10,9.0
3450,7,6967,2,3,2,159000.0,0,0,1,0,2,0,15.0
6100,10,4948,2,3,2,114000.0,0,0,1,2,9,9,7.0
3985,10,4710,0,5,2,85000.0,0,0,1,2,9,10,13.0
1500,10,7171,1,5,2,172813.0,0,1,0,2,10,0,23.0
17750,35,9346,0,6,2,128000.0,0,0,0,1,8,5,8.0
10000,10,6407,3,5,2,84980.0,0,1,2,0,3,0,8.0
19500,23,1769,0,5,2,73372.0,0,0,2,2,0,10,5.0
3250,10,4181,1,6,2,296000.0,0,0,0,1,10,0,19.0
24900,17,9619,0,5,2,16105.0,0,0,0,0,6,5,4.0
22399,11,7919,0,6,2,121047.0,0,0,0,1,8,8,9.0
5999,27,1374,0,3,2,99000.0,4,0,1,1,9,0,8.0
3995,0,9024,0,5,2,173.0,0,0,1,1,9,5,19.0
1395,6,2131,2,3,2,120199.0,0,0,1,0,3,1,18.0
4900,35,7206,3,5,2,200000.0,0,0,1,1,0,1,13.0
3995,7,251,2,3,2,158000.0,0,0,1,2,9,0,7.0
6995,35,9308,2,6,2,224000.0,0,0,0,1,10,5,16.0
3500,35,2035,1,3,2,155000.0,4,0,1,1,9,10,16.0
3850,15,5029,0,5,2,147000.0,0,0,1,1,3,9,16.0
35999,30,290,2,5,0,157558.0,0,0,0,1,10,5,5.0
16999,35,9320,2,6,2,138715.0,0,0,0,1,10,10,9.0
31999,30,672,2,5,0,148128.0,0,0,0,1,10,0,9.0
28999,30,290,2,5,0,146875.0,0,0,0,1,10,9,8.0
32999,30,672,2,5,0,126201.0,0,0,0,1,10,9,8.0
